구분자(PK),공구 대분류 코드,공구 대분류,공구 중분류 코드,공구 중분류,공구 이름,과금기준,수량,장소 PK,대여장소명,상세주소,위도,경도,전화번호,평일오픈시간,평일클로즈시간,생성일시,요금,cluster,공구 중분류 new
14290,4,기타공구,44,기타공구,고무망치,없음,1,13020,개포1동 주민센터 공구대여소,서울특별시 강남구 개포로 303 현대1차상가 1층,37.4824625,127.0544858,02-3423-7670,09:00,18:00,2022-06-24 09:23:51,무료,49,기타
16416,4,기타공구,44,기타공구,고압 세척기,없음,2,492,장충동 공구대여소,서울특별시 중구 장충동1가 37-14,37.56191,127.00784,02-3396-8504,09:00,18:00,2024-05-16 13:49:49,무료,-1,기타
15121,4,기타공구,44,기타공구,"고압력 쌍발 발펌프(자동차,오토바이,자전거)",없음,1,379,이태원제1동주민센터 우리동네 공구함,서울특별시 용산구 이태원동 100-3,37.532474,126.9950687,02-2199-8628,09:00,18:00,2022-11-09 13:39:57,무료,-1,기타
10784,4,기타공구,44,기타공구,공구놀이세트,없음,2,106,독산2동 주민센터 공구도서관,서울 금천구 범안로 1240-7,37.4660771,126.8975502,02-2104-5572,09:00,18:00,2020-11-23 17:48:07,무료,-1,기타
15596,4,기타공구,44,기타공구,공구세트,1일,1,13320,성내1동주민센터,서울특별시 강동구 성내동 539-1,37.5304417,127.122425,02-3425-7772,09:00,18:00,2023-05-04 12:43:53,300원,368,기타
15180,4,기타공구,44,기타공구,공구세트,없음,1,454,불광1동 공구대여소,서울특별시 은평구 불광동 613-1,37.61036,126.93208,02-351-5033 ,09:00,18:00,2022-11-24 15:51:06,무료,368,기타
17209,4,기타공구,44,기타공구,공구함,없음,1,13267,송중동주민센터,서울특별시 강북구 미아동 87-141,37.616099,127.033738,02-3778-4104,09:00,18:00,2025-03-25 10:10:46,무료,344,기타
15666,4,기타공구,44,기타공구,공구함(내용물 미포함),없음,2,341,우리동네 공구도서관(양평2동),서울특별시 영등포구 선유로47길 30,37.5364739,126.8939535,02-3457-7435,09:00,18:00,2023-05-23 22:45:46,무료,-1,기타
16338,4,기타공구,44,기타공구,공유우산,없음,30,496,다산동주민센터 공구도서관,서울특별시 중구 신당동 432-24,37.55434,127.00828,02-3396-8357,09:00,18:00,2024-04-22 19:19:40,무료,3,기타
9270,4,기타공구,44,기타공구,관통기,없음,0,13007,개포4동 주민센터,서울특별시 강남구 개포동 1211-4,37.4788568,127.0516419,02-3423-7854,09:00,18:00,2018-11-20 16:18:02,무료,-1,기타
16105,4,기타공구,44,기타공구,글루건,없음,1,137,방학1동 우리동네 0.9.대여점,서울시 도봉구 방학로2길 27(방학동),37.6641887,127.0384572,02-2091-5604,09:00,18:00,2023-11-30 13:44:54,무료,79,기타
15623,4,기타공구,44,기타공구,글루건,1일,1,13329,성내3동주민센터,강동대로53길 76,37.5260101,127.13287,0234257824,09:00,18:00,2023-05-04 15:05:00,300원,79,기타
15335,4,기타공구,44,기타공구,글루건,없음,1,166,흑석동주민센터 공구대여소,서울특별시 동작구 흑석한강로11,37.5058617,126.966612,02-820-2546,09:00,18:00,2023-03-03 14:18:55,무료,79,기타
14937,4,기타공구,44,기타공구,글루건,1일,1,13250,한남동주민센터,서울특별시 용산구 한남동 685-43,37.53455,127.0005,02-2199-8667,09:00,18:00,2022-09-28 16:20:18,10000원,79,기타
13798,4,기타공구,44,기타공구,글루건,없음,1,288,잠실7동 주민센터,서울특별시 송파구 잠실동 85-1,37.50863,127.07714,02-2147-4766,09:00,18:00,2022-06-20 14:33:48,무료,79,기타
13008,4,기타공구,44,기타공구,글루건,없음,1,13173,방배3동주민센터,서초구 방배로40,37.4784409,126.9999918,02-2155-7813,00:00,00:00,2021-11-26 15:44:28,0원,79,기타
13659,4,기타공구,44,기타공구,글루건 건,없음,1,495,신당동주민센터 공구도서관,서울특별시 중구 신당동 300-6,37.5620364,127.0144345,02-3396-6713,09:00,18:00,2022-06-16 17:02:50,무료,79,기타
9169,4,기타공구,44,기타공구,글루건 심,없음,5,13005,일원본동 주민센터,서울특별시 강남구 일원동 735-3,37.483362,127.0864614,02-3423-8253,09:00,18:00,2018-11-19 11:25:40,무료,80,기타
12354,4,기타공구,44,기타공구,글루건+막대본드,1일,1,2432,화곡6동 주민센터 공구대여소,서울특별시 강서구 화곡동 980-1,37.551864,126.8501598,02-2600-7665,09:00,18:00,2021-09-30 15:40:08,500원,-1,기타
10614,4,기타공구,44,기타공구,"글루건, 핫멜트봉",없음,1,13035,항동 공구대여소,서울특별시 구로구 항동 243-1,37.4790477,126.8223129,02-2620-7595,09:00,18:00,2020-11-23 15:04:30,무료,-1,기타
15932,4,기타공구,44,기타공구,글루스틱,없음,2,13360,잠원동주민센터,나루터로 38,37.5149619,127.0140771,02-2155-7543,09:00,18:00,2023-08-02 07:58:28,무료,-1,기타
15312,4,기타공구,44,기타공구,기리세트(계양용),1일,1,251,성수1가1동 공구대여소,"서울특별시 성동구 뚝섬로3길 18, 3층",37.54202,127.04968,02-2286-7423,09:00,18:00,2023-02-10 17:30:39,500원,-1,기타
15318,4,기타공구,44,기타공구,납 인두기& 흡입기 등,없음,1,13061,홍은2동주민센터 공구대여소,서울특별시 서대문구 홍은동 273-10,37.5801972,126.9342509,02-330-8786,09:00,18:00,2023-02-22 13:47:33,무료,-1,기타
10197,4,기타공구,44,기타공구,낫,없음,3,13026,삼성2동 주민센터 공구대여소,서울특별시 강남구 삼성동 38-34,37.5112037,127.0459453,02-3423-8208,09:00,18:00,2018-11-27 15:59:39,무료,36,기타
17067,4,기타공구,44,기타공구,니퍼,없음,3,504,중림종합사회복지관,서울특별시 중구 중림동 156-176,37.5595228,126.9662513,02-362-3348,09:00,20:00,2024-12-04 15:17:09,무료,103,기타
15598,4,기타공구,44,기타공구,니퍼,1일,1,13320,성내1동주민센터,서울특별시 강동구 성내동 539-1,37.5304417,127.122425,02-3425-7772,09:00,18:00,2023-05-04 12:44:53,300원,103,기타
13894,4,기타공구,44,기타공구,니퍼,없음,1,13020,개포1동 주민센터 공구대여소,서울특별시 강남구 개포로 303 현대1차상가 1층,37.4824625,127.0544858,02-3423-7670,09:00,18:00,2022-06-20 20:26:47,무료,103,기타
16898,4,기타공구,44,기타공구,다목적 가위,없음,1,333,우리동네 공구도서관(문래동),서울특별시 영등포구 문래동3가 55-16,37.51712,126.89953,02-2670-1175,09:00,18:00,2024-08-13 13:43:18,무료,146,기타
16317,4,기타공구,44,기타공구,다목적 가위,없음,1,47,우이동 공구대여소,서울특별시 강북구 삼양로139길49,37.6479523,127.0118533,02-3778-4902,09:00,18:00,2024-04-18 17:26:09,무료,146,기타
13546,4,기타공구,44,기타공구,다목적 드릴비트(육각),없음,10,489,회현동 공구대여소,서울특별시 중구 회현동1가 164,37.5572864,126.9793216,02-3396-6534,09:00,18:00,2022-06-14 16:48:42,무료,-1,기타
13545,4,기타공구,44,기타공구,다목적 드릴비트(육각),없음,10,489,회현동 공구대여소,서울특별시 중구 회현동1가 164,37.5572864,126.9793216,02-3396-6534,09:00,18:00,2022-06-14 16:46:50,무료,-1,기타
12358,4,기타공구,44,기타공구,다목적가위,1일,1,2432,화곡6동 주민센터 공구대여소,서울특별시 강서구 화곡동 980-1,37.551864,126.8501598,02-2600-7665,09:00,18:00,2021-09-30 15:41:48,500원,145,기타
16852,4,기타공구,44,기타공구,다목적드릴비트세트,없음,1,163,상도1동주민센터 공구대여소,서울특별시 동작구 상도동 437,37.4981019,126.9530979,8202451,09:00,18:00,2024-07-09 16:54:03,무료,357,기타
10915,4,기타공구,44,기타공구,다용도 공구세트,없음,3,13042,응암1동주민센터 공구대여소,서울특별시 은평구 응암동 96-3,37.6006884,126.926813,02-351-5215,09:00,18:00,2020-11-25 10:38:46,무료,-1,기타
16332,4,기타공구,44,기타공구,다용도 미니 조명,1일,1,496,다산동주민센터 공구도서관,서울특별시 중구 신당동 432-24,37.55434,127.00828,02-3396-8357,09:00,18:00,2024-04-22 19:14:40,1000원,-1,기타
16329,4,기타공구,44,기타공구,단일지향 미니마이크,1일,1,496,다산동주민센터 공구도서관,서울특별시 중구 신당동 432-24,37.55434,127.00828,02-3396-8357,09:00,18:00,2024-04-22 19:12:46,1000원,-1,기타
13543,4,기타공구,44,기타공구,드라이버 비트,없음,10,489,회현동 공구대여소,서울특별시 중구 회현동1가 164,37.5572864,126.9793216,02-3396-6534,09:00,18:00,2022-06-14 16:37:13,무료,324,기타
16200,4,기타공구,44,기타공구,드라이버 십자 단용 8+,1일,1,2431,화곡1동 주민센터 공구대여소,서울특별시 강서구 화곡동 425-13,37.5303331,126.8414902,02-2600-7525,09:00,18:00,2024-02-23 16:52:46,500원,-1,기타
10635,4,기타공구,44,기타공구,드라이버비트,없음,10,13035,항동 공구대여소,서울특별시 구로구 항동 243-1,37.4790477,126.8223129,02-2620-7595,09:00,18:00,2020-11-23 15:12:09,무료,324,기타
14856,4,기타공구,44,기타공구,드릴기리세트,없음,3,108,독산4동 주민센터 공구도서관,서울특별시 금천구 독산로 232,37.4675452,126.9022074,02-2104-5347,09:00,18:00,2022-09-02 10:17:16,무료,-1,기타
15315,4,기타공구,44,기타공구,디지털염도계,없음,1,13066,노량진2동주민센터 공구대여소,서울시 동작구 장승배기로19길 48,37.508509,126.937352,02-820-2430,09:00,18:00,2023-02-21 14:16:02,무료,-1,기타
14446,4,기타공구,44,기타공구,라돈기,없음,1,13061,홍은2동주민센터 공구대여소,서울특별시 서대문구 홍은동 273-10,37.5801972,126.9342509,02-330-8786,09:00,18:00,2022-06-28 07:32:49,무료,66,기타
16634,4,기타공구,44,기타공구,라돈측정기,없음,1,13215,삼양동 주민센터,서울특별시 강북구 미아동 762-20,37.6250518,127.0197725,02-3778-4004,09:00,18:00,2024-06-10 14:54:05,무료,66,기타
16350,4,기타공구,44,기타공구,라돈측정기,없음,1,494,을지로동 공구대여소,서울특별시 중구 을지로3가 95-7,37.5670173,126.9913248,02-3396-6695,09:00,18:00,2024-04-23 15:19:05,무료,66,기타
15911,4,기타공구,44,기타공구,라돈측정기,없음,1,13220,미아동주민센터,서울특별시 강북구 미아동 197-1,37.6270736,127.0269791,02-3778-4054,09:00,18:00,2023-07-28 16:09:59,무료,66,기타
14377,4,기타공구,44,기타공구,라돈측정기,1일,1,244,사근동 공구대여소,서울특별시 성동구 사근동길 37,37.56152,127.04535,02-2286-7271,09:00,18:00,2022-06-27 10:24:35,1000원,66,기타
14084,4,기타공구,44,기타공구,라돈측정기,없음,1,500,동화동 공구대여소,서울특별시 중구 신당동 850,37.5600562,127.0194239,02-3396-6864,09:00,18:00,2022-06-22 15:10:08,무료,66,기타
13851,4,기타공구,44,기타공구,라돈측정기,1일,1,253,성수2가3동 공구대여소,서울특별시 성동구 성수동2가 299-240,37.54822,127.05525,02-2286-7483,09:00,17:00,2022-06-20 15:49:05,1000원,66,기타
13409,4,기타공구,44,기타공구,라돈측정기,없음,2,102,오류2동 공구대여소,서울특별시 구로구 오류동 172-76,37.4887725,126.8395642,02-2620-7578,09:00,18:00,2022-06-13 17:05:56,무료,66,기타
16654,4,기타공구,44,기타공구,랜턴,없음,1,13267,송중동주민센터,서울특별시 강북구 미아동 87-141,37.616099,127.033738,02-3778-4104,09:00,18:00,2024-06-11 15:16:29,무료,207,기타
13671,4,기타공구,44,기타공구,레이저줄자,없음,1,495,신당동주민센터 공구도서관,서울특별시 중구 신당동 300-6,37.5620364,127.0144345,02-3396-6713,09:00,18:00,2022-06-16 17:10:56,무료,-1,기타
14494,4,기타공구,44,기타공구,레이져거리측정기,없음,1,499,신당5동 공구도서관,서울특별시 중구 신당동 80-70,37.5625561,127.021512,02-3298-6844,10:00,17:00,2022-06-28 22:22:11,무료,69,기타
13646,4,기타공구,44,기타공구,로터리햄머드릴,없음,1,495,신당동주민센터 공구도서관,서울특별시 중구 신당동 300-6,37.5620364,127.0144345,02-3396-6713,09:00,18:00,2022-06-16 16:54:01,무료,-1,기타
15599,4,기타공구,44,기타공구,롱 노우즈,1일,1,13320,성내1동주민센터,서울특별시 강동구 성내동 539-1,37.5304417,127.122425,02-3425-7772,09:00,18:00,2023-05-04 12:45:24,300원,-1,기타
16334,4,기타공구,44,기타공구,룩스패드43 203스탠드,1일,1,496,다산동주민센터 공구도서관,서울특별시 중구 신당동 432-24,37.55434,127.00828,02-3396-8357,09:00,18:00,2024-04-22 19:16:08,2000원,-1,기타
12336,4,기타공구,44,기타공구,리드선,1일,1,50,화곡4동 공구대여소,서울특별시 강서구 화곡동 809-3,37.5345658,126.8607878,02-2600-7604,09:00,18:00,2021-09-30 15:31:40,250원,-1,기타
13515,4,기타공구,44,기타공구,리튬이온 밧데리,없음,1,491,필동 공구대여소,서울특별시 중구 필동2가 19-17,37.5603732,126.9955632,02-3396-6595,09:00,18:00,2022-06-14 16:12:29,무료,-1,기타
13516,4,기타공구,44,기타공구,리튬이온 배터리 충전기,없음,1,491,필동 공구대여소,서울특별시 중구 필동2가 19-17,37.5603732,126.9955632,02-3396-6595,09:00,18:00,2022-06-14 16:13:00,무료,-1,기타
11321,4,기타공구,44,기타공구,릴호스(20M),1일,1,2434,방화1동 주민센터 공구대여소,서울특별시 강서구 마곡동 733-2,37.5703847,126.8169733,02-2600-7975,09:00,18:00,2020-11-25 17:44:25,500원,87,기타
12543,4,기타공구,44,기타공구,만능작업대,없음,1,326,신목종합사회복지관,서울특별시 양천구 신정동 1278-1,37.51685,126.87645,02-2223-8816,09:00,20:00,2021-10-05 11:24:20,무료,91,기타
16855,4,기타공구,44,기타공구,망치,없음,1,132,쌍문2동 노해마을 공구대여점,서울특별시 도봉구 도봉로137길 21(쌍문동),37.6599143,127.0397304,02-2091-5539,09:00,18:00,2024-07-11 15:54:41,무료,267,기타
13558,4,기타공구,44,기타공구,목발(대/중/소),1일,3,489,회현동 공구대여소,서울특별시 중구 회현동1가 164,37.5572864,126.9793216,02-3396-6534,09:00,18:00,2022-06-14 17:24:53,1000원,-1,기타
15600,4,기타공구,44,기타공구,몽키 스패너,1일,1,13320,성내1동주민센터,서울특별시 강동구 성내동 539-1,37.5304417,127.122425,02-3425-7772,09:00,18:00,2023-05-04 12:45:52,300원,221,기타
15380,4,기타공구,44,기타공구,몽키스패너,없음,1,458,구산동주민센터 공구대여소,서울특별시 은평구 구산동 27-5,37.61176,126.91035,02-351-5175,09:00,18:00,2023-04-20 09:32:31,무료,232,기타
16761,4,기타공구,44,기타공구,무선전동 드라이버,없음,2,13212,수색동주민센터,서울특별시 은평구 수색동 417-4,37.5835188,126.8936727,02-351-5425,09:00,18:00,2024-06-24 15:02:24,무료,327,기타
15083,4,기타공구,44,기타공구,물호스,1일,1,13229,보문동주민센터,안암로3길 35,37.580383,127.0228,0222415246,09:00,18:00,2022-11-04 14:09:50,1000원,88,기타
14834,4,기타공구,44,기타공구,물호스,1일,1,13242,삼선동 주민센터,서울특별시 성북구 삼선동4가 349-1,37.5908815,127.0146539,02)2241-5045,09:00,18:00,2022-08-26 14:00:30,1000원,88,기타
14739,4,기타공구,44,기타공구,물호스,1일,1,13239,돈암2동 주민센터,서울특별시 성북구 돈암동 603-1,37.598039,127.0105659,02-2241-5164,09:00,18:00,2022-08-03 12:15:41,1000원,88,기타
16336,4,기타공구,44,기타공구,미러리스카메라,1일,1,496,다산동주민센터 공구도서관,서울특별시 중구 신당동 432-24,37.55434,127.00828,02-3396-8357,09:00,18:00,2024-04-22 19:17:43,3000원,-1,기타
14682,4,기타공구,44,기타공구,발 펌프,없음,1,369,용산2가동주민센터 우리동네 공구함,서울특별시 용산구 용산동2가 11,37.54608,126.98557,02-2199-8420,09:00,18:00,2022-07-15 15:08:41,무료,162,기타
14936,4,기타공구,44,기타공구,발펌프,1일,1,13250,한남동주민센터,서울특별시 용산구 한남동 685-43,37.53455,127.0005,02-2199-8667,09:00,18:00,2022-09-28 16:18:43,10000원,162,기타
16322,4,기타공구,44,기타공구,방구석 방송세트,1일,1,496,다산동주민센터 공구도서관,서울특별시 중구 신당동 432-24,37.55434,127.00828,02-3396-8357,09:00,18:00,2024-04-22 19:04:04,2000원,-1,기타
16321,4,기타공구,44,기타공구,방구석라이브세트,1일,1,496,다산동주민센터 공구도서관,서울특별시 중구 신당동 432-24,37.55434,127.00828,02-3396-8357,09:00,18:00,2024-04-22 19:00:33,2000원,-1,기타
16633,4,기타공구,44,기타공구,방역분무기,없음,1,13215,삼양동 주민센터,서울특별시 강북구 미아동 762-20,37.6250518,127.0197725,02-3778-4004,09:00,18:00,2024-06-10 14:46:28,무료,16,기타
14702,4,기타공구,44,기타공구,방역분무기,없음,1,162,이문제2동 공구대여소,서울시 동대문구 신이문로 27-5,37.6033142,127.0629214,02-2171-6503,09:00,18:00,2022-07-19 17:33:42,무료,16,기타
16319,4,기타공구,44,기타공구,방역소독기,1일,1,496,다산동주민센터 공구도서관,서울특별시 중구 신당동 432-24,37.55434,127.00828,02-3396-8357,09:00,18:00,2024-04-22 18:58:29,1000원,16,기타
13595,4,기타공구,44,기타공구,배수구 청소기,없음,1,492,장충동 공구대여소,서울특별시 중구 장충동1가 37-14,37.56191,127.00784,02-3396-8504,09:00,18:00,2022-06-15 17:00:32,무료,-1,기타
16267,4,기타공구,44,기타공구,배터리충전기,없음,1,502,중림동주민센터 공구 및 물품 대여소,서울특별시 중구 만리동2가 273,37.5547875,126.9645476,02-3396-6927,09:00,18:00,2024-04-03 15:03:14,무료,-1,기타
11086,4,기타공구,44,기타공구,벡터 스트리퍼,없음,1,13033,위례동주민센터,서울특별시 송파구 장지동 882,37.4812034,127.1439126,02-2147-4950,09:00,18:00,2020-11-25 14:41:11,무료,82,기타
9445,4,기타공구,44,기타공구,변기 관통기,없음,2,13013,일원1동 주민센터,서울특별시 강남구 일원동 712-3,37.4918388,127.0879628,02-3423-8370,09:00,18:00,2018-11-22 10:34:05,무료,-1,기타
12267,4,기타공구,44,기타공구,보쉬 GLM 40 거리측정기,1일,1,262,석관동 공구대여소,서울특별시 성북구 화랑로 296,37.61296,127.0614,02-2241-5760,09:00,18:00,2021-09-30 10:53:46,1000원,-1,기타
13654,4,기타공구,44,기타공구,보쉬 수공구,없음,1,495,신당동주민센터 공구도서관,서울특별시 중구 신당동 300-6,37.5620364,127.0144345,02-3396-6713,09:00,18:00,2022-06-16 16:59:19,무료,340,기타
11144,4,기타공구,44,기타공구,보쉬 열풍기,1일,1,238,반포반딧불센터,서울특별시 서초구 신반포로42길 12 1층,37.50975,127.01846,02-516-7887,10:00,18:00,2020-11-25 15:27:36,10000원,-1,기타
16268,4,기타공구,44,기타공구,보쉬수공구세트,없음,2,502,중림동주민센터 공구 및 물품 대여소,서울특별시 중구 만리동2가 273,37.5547875,126.9645476,02-3396-6927,09:00,18:00,2024-04-03 15:18:38,무료,340,기타
15337,4,기타공구,44,기타공구,보안경,없음,2,166,흑석동주민센터 공구대여소,서울특별시 동작구 흑석한강로11,37.5058617,126.966612,02-820-2546,09:00,18:00,2023-03-03 14:22:52,무료,30,기타
12497,4,기타공구,44,기타공구,보안경,1일,5,13168,집수리지원센터 공구대여소(건축과),서울특별시 성북구 삼선동5가 411,37.5894,127.016749,02-2241-2923,09:00,18:00,2021-10-01 13:14:29,1000원,30,기타
8911,4,기타공구,44,기타공구,보안경,없음,5,99,개봉2동 공구대여소,서울 구로구 개봉로16가길 17,37.4907879,126.8543442,02-2620-7255,09:00,18:00,2018-02-02 13:30:00,무료,30,기타
8983,4,기타공구,44,기타공구,보안경,없음,3,102,오류2동 공구대여소,서울특별시 구로구 오류동 172-76,37.4887725,126.8395642,02-2620-7578,09:00,18:00,2018-02-02 13:30:00,무료,30,기타
14451,4,기타공구,44,기타공구,보안경(물안경 타입),없음,1,246,금호2-3가동 공구대여소,서울특별시 성동구 금호동2가 1212,37.55321,127.02092,02-2286-7364,09:00,18:00,2022-06-28 09:26:50,무료,30,기타
13557,4,기타공구,44,기타공구,보행보조기,1일,2,489,회현동 공구대여소,서울특별시 중구 회현동1가 164,37.5572864,126.9793216,02-3396-6534,09:00,18:00,2022-06-14 17:22:24,1000원,18,기타
12355,4,기타공구,44,기타공구,볼렌치세트(8피스),1일,1,2432,화곡6동 주민센터 공구대여소,서울특별시 강서구 화곡동 980-1,37.551864,126.8501598,02-2600-7665,09:00,18:00,2021-09-30 15:40:38,500원,-1,기타
12356,4,기타공구,44,기타공구,볼렌치세트(9피스),1일,1,2432,화곡6동 주민센터 공구대여소,서울특별시 강서구 화곡동 980-1,37.551864,126.8501598,02-2600-7665,09:00,18:00,2021-09-30 15:40:59,500원,-1,기타
13658,4,기타공구,44,기타공구,볼트캇타,없음,1,495,신당동주민센터 공구도서관,서울특별시 중구 신당동 300-6,37.5620364,127.0144345,02-3396-6713,09:00,18:00,2022-06-16 17:02:16,무료,125,기타
17126,4,기타공구,44,기타공구,부탄가스토치,없음,1,246,금호2-3가동 공구대여소,서울특별시 성동구 금호동2가 1212,37.55321,127.02092,02-2286-7364,09:00,18:00,2025-01-07 13:25:52,무료,15,기타
10051,4,기타공구,44,기타공구,부탄가스히타,없음,2,13023,개포2동 주민센터 공구대여소,서울특별시 강남구 개포동 182,37.4897717,127.0689391,02-3423-7758,09:00,18:00,2018-11-27 14:38:01,무료,5,기타
